planet_name,NOBS,REF,RMS,URL
HD 204313 d,36.0,Robertson 2012,29.8,http://adsabs.harvard.edu/abs/2012ApJ...754...50R
HD 204941 b,35.0,Dumusque 2011,1.31,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D
HD 205739 b,24.0,Lopez-Morales 2008,8.67,http://adsabs.harvard.edu/abs/2008AJ....136.1901L
HD 206610 b,24.0,Johnson 2010,4.8,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 20781 b,,,,
HD 20781 c,,,,
HD 20782 b,36.0,O'Toole 2009,5.6,http://adsabs.harvard.edu/abs/2009MNRAS.392..641O
HD 207832 b,86.0,Haghighipour 2012,8.43,http://adsabs.harvard.edu/abs/2012ApJ...756...91H
HD 207832 c,86.0,Haghighipour 2012,8.43,http://adsabs.harvard.edu/abs/2012ApJ...756...91H
HD 20794 b,187.0,Pepe 2011,0.82,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P
HD 20794 c,187.0,Pepe 2011,0.82,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P
HD 20794 d,187.0,Pepe 2011,0.82,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P
HD 208487 b,35.0,Butler 2006,8.2,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 20868 b,48.0,Moutou 2009,1.7,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HD 209458 b,64.0,Torres 2008,4.96174,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HD 210277 b,69.0,Butler 2006,3.8,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 210702 b,,Bowler 2010,,http://adsabs.harvard.edu/abs/2010ApJ...709..396B
HD 211847 b,,,,
HD 212301 b,23.0,Lo Curto 2006,6.7,http://adsabs.harvard.edu/abs/2006A%26A...451..345L
HD 212771 b,20.0,Johnson 2010,5.8,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 213240 b,30.0,Butler 2006,5.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 214823 b,,,,
HD 215152 b,,,,
HD 215152 c,,,,
HD 215456 b,,,,
HD 215456 c,,,,
HD 215497 b,105.0,Lo Curto 2010,1.75,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
HD 215497 c,105.0,Lo Curto 2010,1.75,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
HD 216435 b,,,,
HD 216437 b,39.0,Butler 2006,5.3,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 216770 b,16.0,Mayor 2004,7.8,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 21693 b,,,,
HD 21693 c,,,,
HD 217107 b,207.0,Wright 2009,11.3027,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
